title,author
Triss,Brian Jacques;David Elliot
Firebirds,Sharyn November
The BFG,Roald Dahl;David Wood;Jane Walmsley
Riot,Shashi Tharoor
Democracy Matters,Cornel West
Windblown World,Jack Kerouac;Douglas Brinkley
The United States of Europe,T. R. Reid
Grammar Snobs are Great Big Meanies,June Casagrande
Bargaining for Advantage,G. Richard Shell
The Big Over Easy,Jasper Fforde
Homegrown Democrat,Garrison Keillor
Let My People Go Surfing,Yvon Chouinard
The White Man's Burden,William Easterly
The Tale of Genji,Murasaki Shikibu
Black Lamb and Grey Falcon,Rebecca West
Janet Flanner's world,Janet Flanner;Irving Drutman
The Hundred Dresses,Eleanor Estes
Beauty Shop for Rent,Laura Bowers
Winterdance,Gary Paulsen
A Writer's Diary,Virginia Woolf;Leonard Woolf
Mrs. Dalloway's Party,Virginia Woolf;Stella McNichol
The Female of the Species,Joyce Carol Oates
Virginia Woolf,Julia Briggs
Diary Of Virginia Woolf Volume 5,Virginia Woolf
Orlando,Virginia Woolf;Adeline Virginia Stephen Woolf
The First Philosophers,Robin Waterfield
The Castle of Otranto,Horace Walpole
Hans Andersen's Fairy Tales,Hans Christian Andersen
A Sentimental Education,Gustave Flaubert
The Confidence-man,Herman Melville
The Admirable Crichton ; Peter Pan ; When Wendy Grew Up ; What Every Woman Knows ; Mary Rose,James Matthew Barrie
La chartreuse de Parme,Jm Stendhal
Albion's Seed,David Hackett Fischer
Notebooks of the Mind,Vera John-Steiner
Masters of Small Worlds,Stephanie McCurry
Ride of the Second Horseman,Robert L. O'Connell
Manic-Depressive Illness,Frederick K. Goodwin;Kay Redfield Jamison
Philosophy of Mind,David John Chalmers
Norse Mythology,John Lindow
Introduction to Philosophy,John Perry;Michael Bratman;John Martin Fischer
Strategies of Containment,John Lewis Gaddis
Acts of God,Ted Steinberg
Contemporary Political Philosophy,Will Kymlicka
The Church in Ancient Society,Henry Chadwick
East and West: The Making of a Rift in the Church,Henry Chadwick
Plato's Symposium,Plato;Seth Benardete
Lost Prophet,John D'Emilio
"History of Religious Ideas, Volume 3",Mircea Eliade
"Love, Sex & Tragedy",Simon Goldhill
Oresteia,Esquilo;Aeschylus
Euripides I,Euripides
Aeschylus: The suppliant maidens,Aeschylus;David Grene
Heat Wave,Eric Klinenberg
Moral Politics,George Lakoff
A Dance to the Music of Time,Anthony Powell
Poems Between Women,Emma Donoghue
Antigone's Claim,Judith Butler
William Faulkner,Nicolas Tredell
More Than You Know,Michael J. Mauboussin
Dante's Vita Nuova,Alighieri Dante;Dante Alighieri
Marketing and the Bottom Line,Tim Ambler
"Traders, Guns & Money",Satyajit Das
The Heights of Courage,Avigdor Kahalani
C. S. Lewis,Bruce L. Edwards
The Lost World of Agharti,Alec Maclellan
Zero,Charles Seife
Long Day's Journey,Carlos A. Schwantes
Leonardo on Painting,Leonardo
Marcel Proust,William C. Carter
How Democratic is the American Constitution?,Robert A. Dahl
Cuba,Richard Gott
Hemingway,Jeffrey Meyers
Unsung Heroes of Rock 'n' Roll,Nick Tosches
Johnny Cash,Michael Streissguth
23 Days in July,John Wilcockson
The Deeper Meaning of Liff,Douglas Adams;John Lloyd
The Best of Wodehouse,Pelham Grenville Wodehouse
Buried Child,Sam Shepard
If Beale Street Could Talk,James Baldwin
Robert Langdon Novels,Dan Brown
The Sunset Limited,Cormac McCarthy
A Walk in the Woods,Bill Bryson
Cesar's Way,Cesar Millan;Melissa Jo Peltier
"Small Bites, Big Nights",Govind Armstrong;Ann Wycoff;Alison Clare Steingold
